key_mlbam,name,metric,age,value,n_comparables,n_with_next_season,projected_value_mean,projected_value_p25,projected_value_p75
678022,Jack Perkins,HR9,26,1.7339449541284402,,,1.0066316731926404,1.0066316731926404,1.0066316731926404
678022,Jack Perkins,FIP,26,4.641284403669725,25.0,18.0,4.491894644881606,4.11669082136682,4.824943438914028
678394,Brayan Bello,K9,27,7.125,25.0,20.0,7.0109922338786586,6.229860109408595,7.74419968717414
678394,Brayan Bello,BB9,27,3.125,25.0,14.0,3.4776938636226156,2.7548190222974203,4.392754281266217
678394,Brayan Bello,HR9,27,1.375,,,1.0477048602401247,1.0477048602401247,1.0477048602401247
678394,Brayan Bello,FIP,27,4.669444444444444,25.0,18.0,4.432893230245529,4.268580951467485,4.592678890036623
678906,Kai-Wei Teng,K9,27,8.955445544554456,25.0,15.0,8.884166698620323,8.002658319438764,9.694220144496388
678906,Kai-Wei Teng,BB9,27,4.00990099009901,25.0,15.0,3.9901943304462804,3.3498489576970494,4.484899833892599
678906,Kai-Wei Teng,HR9,27,1.3366336633663367,,,0.9974607697719869,0.9974607697719869,0.9974607697719869
678906,Kai-Wei Teng,FIP,27,4.867326732673267,25.0,16.0,4.412770186172695,4.131540914837375,4.7328450758715555
679883,Luinder Avila,K9,24,8.360406091370558,25.0,19.0,7.484183989809791,6.861405919661734,8.484446445327967
679883,Luinder Avila,BB9,24,5.756345177664974,25.0,14.0,4.379683846204431,3.764458572600492,4.841555977229602
679883,Luinder Avila,HR9,24,0.9593908629441623,,,0.929379756929341,0.929379756929341,0.929379756929341
679883,Luinder Avila,FIP,24,4.638071065989847,25.0,18.0,4.181908274559276,3.791816486648137,4.487692307692308
680573,Simeon Woods Richardson,K9,25,5.042168674698795,25.0,19.0,5.154458062478136,4.311315506969377,5.807401297075891
680573,Simeon Woods Richardson,BB9,25,5.204819277108434,25.0,10.0,4.18767774465334,3.9664701076449087,4.955413533834586
680573,Simeon Woods Richardson,HR9,25,1.463855421686747,,,1.0505624949488843,1.0505624949488843,1.0505624949488843
680573,Simeon Woods Richardson,FIP,25,5.937349397590362,25.0,14.0,5.081443311052568,4.66581898594219,5.677917893961708
